IDPIF,SUPQUEMADA,RADIO_M,MUERTOS,HERIDOS,IDCOMUNIDAD,COMUNIDAD,IDPROVINCIA,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,RES_GRP_CAUSA,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2006151817,1360.0000,2080.62,0,0,3,GALICIA,15,A CORUÑA,FISTERRA,MAZARICOS,42.94312400,-9.05025500,2006-08-08,3255,3585,1,4,Otras motivaciones,14,14,0,0,255612
2012300087,1342.1900,2066.95,0,0,8,MURCIA,30,MURCIA,INDETERMINADA,OTRA PROVINCIA,38.37113200,-1.74887000,2012-07-01,3045,7365,1,4,Provocados por venganzas,672,68,8,0,0
2012460157,1330.9400,2058.27,0,1,9,C. VALENCIANA,46,VALENCIA,LA SAFOR,LLOCNOU DE SANT JERONI,38.90335300,-0.29553700,2012-06-12,3320,10460,1,4,Sin datos,105,22,17,0,386931
2011322445,1285.4500,2022.79,0,0,3,GALICIA,32,OURENSE,VALDEORRAS-TRIVES,MANZANEDA,42.25009400,-7.23769800,2011-10-18,1928,5794,0,6,INCENDIO REPRODUCIDO,5,1,2,0,0
2009500169,1283.0700,2020.92,0,0,10,ARAGON,50,ZARAGOZA,ZARAGOZA,JAULÍN,41.43829000,-0.94517200,2009-07-29,2550,13430,0,2,FUMADORES,332,21,21,0,0
2004140025,1282.0000,2020.08,0,0,4,ANDALUCIA,14,CORDOBA,VALLE DEL GUADIATO,OBEJO,38.07564600,-4.75963200,2004-06-24,6630,6660,0,3,MANIOBRAS MILITARES,119,8,9,0,265672
2005370293,1280.3500,2018.78,0,0,17,CASTILLA Y LEON,37,SALAMANCA,LA ALBERCA,CILLEROS DE LA BASTIDA,40.52886800,-5.98566000,2005-06-18,361,7320,0,1,RAYO,430,22,9,0,2022571
2003080280,1263.7800,2005.67,0,0,2,CATALUÑA,8,BARCELONA,VALLS OCCIDENTAL,GALLIFA,41.68959200,2.10477500,2003-08-11,7570,25400,0,5,CAUSA DESCONOCIDA,296,34,9,0,0
2006130076,1252.0000,1996.30,0,0,11,CASTILLA-MANCHA,13,CIUDAD REAL,CAMPO DE CALATRAVA,CALZADA DE CALATRAVA,38.66809100,-3.82226100,2006-08-12,995,1895,1,4,Provocados contra el acotamiento de la caza,140,20,9,105823,266764
2013450327,1251.3000,1995.74,0,0,11,CASTILLA-MANCHA,45,TOLEDO,SAGRA-TOLEDO,ALMOROX,40.24897400,-4.43060000,2013-07-16,2251,10397,0,3,MOTORES Y MÁQUINAS (OTROS),608,47,38,0,0
2012050237,1242.4000,1988.63,0,0,17,CASTILLA Y LEON,5,AVILA,EL BARCO DE AVILA,SOLANA DE ÁVILA,40.35034800,-5.60657900,2012-08-18,2810,18555,1,4,Provocados por venganzas,153,19,14,0,0
2005080231,1216.7000,1967.96,0,4,2,CATALUÑA,8,BARCELONA,BAGES,CARDONA,41.89624800,1.71995800,2005-07-08,1715,3230,0,2,FUMADORES,1401,125,26,0,0
2005152066,1200.0000,1954.41,0,0,3,GALICIA,15,A CORUÑA,FISTERRA,CARNOTA,42.88979300,-9.12390100,2005-08-21,4915,5685,1,4,Otras motivaciones,280,22,19,0,0
2003100793,1200.0000,1954.41,0,0,14,EXTREMADURA,10,CACERES,SIERRA DE SAN PEDRO,OTRA PROVINCIA,39.39376900,-7.14015900,2003-08-01,870,990,0,1,RAYO,120,7,8,0,2285
2005490628,1167.8000,1928.01,0,10,17,CASTILLA Y LEON,49,ZAMORA,ALCAÑICES,TRABAZOS,41.77401300,-6.50769400,2005-07-16,3150,5850,0,3,MOTORES Y MÁQUINAS (SIN ESPECIFICAR),148,20,13,60444,0
